,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
172,11370,11880,11370,11840,1442069,16899667150,1.63,20240201,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
182,426500,433000,417000,430000,312842,133027513500,-1.04,20240201,051910,LG화학,445524.0,18.17,0.97,23670.0,2.33,10000.0
776,49200,51500,48600,51000,131878,6708546950,2.51,20240201,004000,롯데정밀화학,90075.0,8.89,0.57,5738.0,6.86,3500.0
782,129400,140800,129300,140100,214326,29734932700,7.19,20240201,011170,롯데케미칼,404799.0,81.64,0.35,1716.0,2.5,3500.0
1040,73000,74200,72900,73600,19881033,1460989435744,1.24,20240201,005930,삼성전자,57822.0,9.13,1.27,8057.0,1.96,1444.0
1046,32850,35000,32750,34900,651870,22504800100,5.76,20240201,029780,삼성카드,73934.0,5.99,0.47,5831.0,7.16,2500.0
1269,170900,179200,170900,178600,140228,24781777500,3.6,20240201,004170,신세계,418209.0,4.33,0.43,41282.0,2.1,3750.0
1895,76100,81100,76000,79100,858143,68190331400,1.67,20240201,139480,이마트,418373.0,2.11,0.19,37528.0,2.53,2000.0
2145,51900,53100,51500,52700,1422821,74686139900,0.38,20240201,035720,카카오,22893.0,16.97,2.3,3106.0,0.11,60.0
2147,26800,27250,26500,26850,1088283,29111648300,-1.65,20240201,323410,카카오뱅크,11988.0,48.55,2.24,553.0,0.3,80.0
2962,11740,11940,11740,11890,1224585,14529043230,0.42,20240202,034220,LG디스플레이,25521.0,0.0,0.47,0.0,0.0,0.0
2972,451000,468500,433000,461000,679677,309922167500,7.21,20240202,051910,LG화학,445524.0,19.48,1.03,23670.0,2.17,10000.0
3566,51100,51800,50200,51100,102245,5230229800,0.2,20240202,004000,롯데정밀화학,90075.0,8.91,0.57,5738.0,6.85,3500.0
3572,138600,138700,131300,132500,321077,42692525900,-5.42,20240202,011170,롯데케미칼,404799.0,77.21,0.33,1716.0,2.64,3500.0
3830,74000,75200,73700,75200,14955881,1116696087686,2.17,20240202,005930,삼성전자,57822.0,9.33,1.3,8057.0,1.92,1444.0
3836,34650,35050,34100,34800,243031,8456391650,-0.29,20240202,029780,삼성카드,73934.0,5.97,0.47,5831.0,7.18,2500.0
4059,178100,181800,175900,179900,87655,15699119300,0.73,20240202,004170,신세계,418209.0,4.36,0.43,41282.0,2.08,3750.0
4685,79900,88500,79400,87400,1755378,148415105300,10.49,20240202,139480,이마트,418373.0,2.33,0.21,37528.0,2.29,2000.0
4935,53800,56600,53700,56300,2428683,135058800100,6.83,20240202,035720,카카오,22893.0,18.13,2.46,3106.0,0.11,60.0
4937,27250,29600,27150,29300,2664997,76876558350,9.12,20240202,323410,카카오뱅크,11988.0,52.98,2.44,553.0,0.27,80.0
5753,0,0,0,0,0,0,0.0,20240203,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
5763,0,0,0,0,0,0,0.0,20240203,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
6357,0,0,0,0,0,0,0.0,20240203,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
6363,0,0,0,0,0,0,0.0,20240203,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
6621,0,0,0,0,0,0,0.0,20240203,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
6627,0,0,0,0,0,0,0.0,20240203,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
6850,0,0,0,0,0,0,0.0,20240203,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
7476,0,0,0,0,0,0,0.0,20240203,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
7726,0,0,0,0,0,0,0.0,20240203,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
7728,0,0,0,0,0,0,0.0,20240203,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
8544,0,0,0,0,0,0,0.0,20240204,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
8554,0,0,0,0,0,0,0.0,20240204,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
9148,0,0,0,0,0,0,0.0,20240204,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
9154,0,0,0,0,0,0,0.0,20240204,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
9412,0,0,0,0,0,0,0.0,20240204,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
9418,0,0,0,0,0,0,0.0,20240204,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
9641,0,0,0,0,0,0,0.0,20240204,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
10267,0,0,0,0,0,0,0.0,20240204,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
10517,0,0,0,0,0,0,0.0,20240204,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
10519,0,0,0,0,0,0,0.0,20240204,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
11335,11730,11870,11640,11690,1125627,13175838820,-1.68,20240205,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
11345,465500,477500,456500,467000,487996,228524587000,1.3,20240205,051910,LG화학,445524.0,19.73,1.05,23670.0,2.14,10000.0
11939,51200,51500,50300,51100,64340,3269780000,0.0,20240205,004000,롯데정밀화학,90075.0,8.91,0.57,5738.0,6.85,3500.0
11945,132000,133200,130000,132000,100987,13296412200,-0.38,20240205,011170,롯데케미칼,404799.0,76.92,0.33,1716.0,2.65,3500.0
12203,74200,74800,73500,74300,19026021,1407991610817,-1.2,20240205,005930,삼성전자,57822.0,9.22,1.28,8057.0,1.94,1444.0
12209,34500,34800,33800,34450,126727,4340789000,-1.01,20240205,029780,삼성카드,73934.0,5.91,0.47,5831.0,7.26,2500.0
12432,180200,182700,178100,182000,58500,10566754100,1.17,20240205,004170,신세계,418209.0,4.41,0.44,41282.0,2.06,3750.0
13058,86500,88000,84500,87800,723106,62729281300,0.46,20240205,139480,이마트,418373.0,2.34,0.21,37528.0,2.28,2000.0
13308,57000,57400,54600,55000,1564624,86629285500,-2.31,20240205,035720,카카오,22893.0,17.71,2.4,3106.0,0.11,60.0
13310,29050,29050,27300,27500,1604228,44522255150,-6.14,20240205,323410,카카오뱅크,11988.0,49.73,2.29,553.0,0.29,80.0
14126,11620,11750,11340,11460,1347149,15515884030,-1.97,20240206,034220,LG디스플레이,25521.0,0.0,0.45,0.0,0.0,0.0
14136,454000,470000,453000,462500,311282,143928075500,-0.96,20240206,051910,LG화학,445524.0,19.54,1.04,23670.0,2.16,10000.0
14730,50700,51200,50400,50700,45167,2296835800,-0.78,20240206,004000,롯데정밀화학,90075.0,8.84,0.56,5738.0,6.9,3500.0
14736,130700,133600,130600,132400,65735,8694867700,0.3,20240206,011170,롯데케미칼,404799.0,77.16,0.33,1716.0,2.64,3500.0
14994,74300,74700,73300,74400,14559254,1079406742676,0.13,20240206,005930,삼성전자,57822.0,9.23,1.29,8057.0,1.94,1444.0
15000,34150,34750,34000,34150,62390,2141105500,-0.87,20240206,029780,삼성카드,73934.0,5.86,0.46,5831.0,7.32,2500.0
15224,181500,182700,177400,177800,38539,6913981400,-2.31,20240206,004170,신세계,418209.0,4.31,0.43,41282.0,2.11,3750.0
15851,86600,87700,82000,83200,526916,44567585000,-5.24,20240206,139480,이마트,418373.0,2.22,0.2,37528.0,2.4,2000.0
16101,54500,55000,53800,54000,982600,53211450500,-1.82,20240206,035720,카카오,22893.0,17.39,2.36,3106.0,0.11,60.0
16103,27500,27750,26950,27300,811187,22091180700,-0.73,20240206,323410,카카오뱅크,11988.0,49.37,2.28,553.0,0.29,80.0
16919,11580,11610,11350,11500,955327,10983523140,0.35,20240207,034220,LG디스플레이,25521.0,0.0,0.45,0.0,0.0,0.0
16929,464500,474500,456000,463500,363161,171015416500,0.22,20240207,051910,LG화학,445524.0,19.58,1.04,23670.0,2.16,10000.0
17523,51300,51600,50400,51200,70232,3581736500,0.99,20240207,004000,롯데정밀화학,90075.0,8.92,0.57,5738.0,6.84,3500.0
17529,134000,138500,132800,137400,134028,18305836200,3.78,20240207,011170,롯데케미칼,404799.0,80.07,0.34,1716.0,2.55,3500.0
17787,74600,75500,74300,75000,16566445,1241375169523,0.81,20240207,005930,삼성전자,57822.0,9.31,1.3,8057.0,1.93,1444.0
17793,34500,35050,34100,35000,150218,5213653850,2.49,20240207,029780,삼성카드,73934.0,6.0,0.47,5831.0,7.14,2500.0
18017,177900,187300,177900,185400,93727,17183994600,4.27,20240207,004170,신세계,418209.0,4.49,0.44,41282.0,2.02,3750.0
18644,83300,85500,82900,85300,297796,25202945000,2.52,20240207,139480,이마트,418373.0,2.27,0.2,37528.0,2.34,2000.0
18894,54400,55700,53600,53800,1256600,68522668700,-0.37,20240207,035720,카카오,22893.0,17.32,2.35,3106.0,0.11,60.0
18896,28000,31050,27950,28400,6674910,197036495150,4.03,20240207,323410,카카오뱅크,11988.0,51.36,2.37,553.0,0.28,80.0
19712,11600,11740,11460,11740,1981033,23081002160,2.09,20240208,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
19722,489000,489000,470500,470500,768536,367356712500,1.51,20240208,051910,LG화학,445524.0,19.88,1.06,23670.0,2.13,10000.0
20316,51200,51300,49900,49950,86206,4332023800,-2.44,20240208,004000,롯데정밀화학,90075.0,8.71,0.55,5738.0,7.01,3500.0
20322,136800,136800,132800,134700,128897,17342237600,-1.97,20240208,011170,롯데케미칼,404799.0,78.5,0.33,1716.0,2.6,3500.0
20580,75000,75200,73600,74100,20810708,1545421527910,-1.2,20240208,005930,삼성전자,57822.0,9.2,1.28,8057.0,1.95,1444.0
20586,34900,36100,34850,35400,262029,9332841450,1.14,20240208,029780,삼성카드,73934.0,6.07,0.48,5831.0,7.06,2500.0
20810,186900,189500,184900,186900,99820,18762222900,0.81,20240208,004170,신세계,418209.0,4.53,0.45,41282.0,2.01,3750.0
21437,85400,86000,83900,85100,239976,20364770500,-0.23,20240208,139480,이마트,418373.0,2.27,0.2,37528.0,2.35,2000.0
21687,54500,54700,53700,54000,1532750,82902332000,0.37,20240208,035720,카카오,22893.0,17.39,2.36,3106.0,0.11,60.0
21689,28400,29750,28250,29100,2480031,72474201150,2.46,20240208,323410,카카오뱅크,11988.0,52.62,2.43,553.0,0.27,80.0
22505,0,0,0,0,0,0,0.0,20240209,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
22515,0,0,0,0,0,0,0.0,20240209,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
23109,0,0,0,0,0,0,0.0,20240209,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
23115,0,0,0,0,0,0,0.0,20240209,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
23373,0,0,0,0,0,0,0.0,20240209,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
23379,0,0,0,0,0,0,0.0,20240209,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
23603,0,0,0,0,0,0,0.0,20240209,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
24230,0,0,0,0,0,0,0.0,20240209,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
24480,0,0,0,0,0,0,0.0,20240209,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
24482,0,0,0,0,0,0,0.0,20240209,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
25298,0,0,0,0,0,0,0.0,20240210,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
25308,0,0,0,0,0,0,0.0,20240210,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
25902,0,0,0,0,0,0,0.0,20240210,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
25908,0,0,0,0,0,0,0.0,20240210,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
26166,0,0,0,0,0,0,0.0,20240210,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
26172,0,0,0,0,0,0,0.0,20240210,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
26396,0,0,0,0,0,0,0.0,20240210,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
27023,0,0,0,0,0,0,0.0,20240210,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
27273,0,0,0,0,0,0,0.0,20240210,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
27275,0,0,0,0,0,0,0.0,20240210,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
28091,0,0,0,0,0,0,0.0,20240211,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
28101,0,0,0,0,0,0,0.0,20240211,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
28695,0,0,0,0,0,0,0.0,20240211,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
28701,0,0,0,0,0,0,0.0,20240211,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
28959,0,0,0,0,0,0,0.0,20240211,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
28965,0,0,0,0,0,0,0.0,20240211,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
29189,0,0,0,0,0,0,0.0,20240211,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
29816,0,0,0,0,0,0,0.0,20240211,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
30066,0,0,0,0,0,0,0.0,20240211,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
30068,0,0,0,0,0,0,0.0,20240211,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
30884,0,0,0,0,0,0,0.0,20240212,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
30894,0,0,0,0,0,0,0.0,20240212,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
31488,0,0,0,0,0,0,0.0,20240212,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
31494,0,0,0,0,0,0,0.0,20240212,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
31752,0,0,0,0,0,0,0.0,20240212,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
31758,0,0,0,0,0,0,0.0,20240212,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
31982,0,0,0,0,0,0,0.0,20240212,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
32609,0,0,0,0,0,0,0.0,20240212,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
32859,0,0,0,0,0,0,0.0,20240212,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
32861,0,0,0,0,0,0,0.0,20240212,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
33677,11780,11790,11600,11740,996709,11691971600,0.0,20240213,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
33687,473000,475000,469500,471000,379733,179071633073,0.11,20240213,051910,LG화학,445524.0,19.9,1.06,23670.0,2.12,10000.0
34281,50400,50800,48900,48950,111071,5495202500,-2.0,20240213,004000,롯데정밀화학,90075.0,8.53,0.54,5738.0,7.15,3500.0
34287,135700,136400,133100,134600,101956,13697252500,-0.07,20240213,011170,롯데케미칼,404799.0,78.44,0.33,1716.0,2.6,3500.0
34545,74800,75200,74400,75200,21966745,1645918689800,1.48,20240213,005930,삼성전자,57822.0,9.33,1.3,8057.0,1.92,1444.0
34551,35950,36900,35850,36200,229322,8341050500,2.26,20240213,029780,삼성카드,73934.0,6.21,0.49,5831.0,6.91,2500.0
34775,187000,189700,183100,186800,65360,12159802400,-0.05,20240213,004170,신세계,418209.0,4.52,0.45,41282.0,2.01,3750.0
35402,84100,84800,80500,80800,476152,38863696800,-5.05,20240213,139480,이마트,418373.0,2.15,0.19,37528.0,2.48,2000.0
35652,54000,55300,54000,54700,957145,52384826200,1.3,20240213,035720,카카오,22893.0,17.61,2.39,3106.0,0.11,60.0
35654,29450,30000,29450,29700,1450726,43169943450,2.06,20240213,323410,카카오뱅크,11988.0,53.71,2.48,553.0,0.27,80.0
36470,11670,11900,11650,11800,1004154,11846531570,0.51,20240214,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
36480,460500,463500,449000,461000,323305,147647118000,-2.12,20240214,051910,LG화학,445524.0,19.48,1.03,23670.0,2.17,10000.0
37074,48800,49150,48550,49100,45250,2212561300,0.31,20240214,004000,롯데정밀화학,90075.0,8.56,0.55,5738.0,7.13,3500.0
37080,132600,133300,131000,132200,66588,8798994200,-1.78,20240214,011170,롯데케미칼,404799.0,77.04,0.33,1716.0,2.65,3500.0
37338,73700,74300,73700,74000,12434945,920046681339,-1.6,20240214,005930,삼성전자,57822.0,9.18,1.28,8057.0,1.95,1444.0
37344,35750,36350,35400,36200,126634,4566073650,0.0,20240214,029780,삼성카드,73934.0,6.21,0.49,5831.0,6.91,2500.0
37568,183100,187900,183100,184600,36212,6714434700,-1.18,20240214,004170,신세계,418209.0,4.47,0.44,41282.0,2.03,3750.0
38195,79900,80400,77700,78000,316229,24863640600,-3.47,20240214,139480,이마트,418373.0,2.08,0.19,37528.0,2.56,2000.0
38445,53900,54900,53200,54900,886156,47992420500,0.37,20240214,035720,카카오,22893.0,17.68,2.4,3106.0,0.11,60.0
38447,29000,30100,28650,29800,1138724,33610263650,0.34,20240214,323410,카카오뱅크,11988.0,53.89,2.49,553.0,0.27,80.0
39262,11920,11920,11750,11770,841566,9941753520,-0.25,20240215,034220,LG디스플레이,25521.0,0.0,0.46,0.0,0.0,0.0
39272,468000,488500,468000,483500,423918,203731088500,4.88,20240215,051910,LG화학,445524.0,20.43,1.09,23670.0,2.07,10000.0
39866,49600,49600,48500,48600,58785,2871617000,-1.02,20240215,004000,롯데정밀화학,90075.0,8.47,0.54,5738.0,7.2,3500.0
39872,133800,133800,131200,131300,49419,6510418600,-0.68,20240215,011170,롯데케미칼,404799.0,76.52,0.32,1716.0,2.67,3500.0
40130,74200,74400,73000,73000,14120600,1037048777500,-1.35,20240215,005930,삼성전자,57822.0,9.06,1.26,8057.0,1.98,1444.0
40136,36500,36500,35900,35950,78231,2821993150,-0.69,20240215,029780,삼성카드,73934.0,6.17,0.49,5831.0,6.95,2500.0
40360,186400,186500,181900,182400,39258,7177475900,-1.19,20240215,004170,신세계,418209.0,4.42,0.44,41282.0,2.06,3750.0
40988,77200,77600,75300,75800,280857,21436015200,-2.82,20240215,139480,이마트,418373.0,2.02,0.18,37528.0,2.64,2000.0
